codeInseeCommune,codeInstallation,libelle,nbParkingHandi,gardien,metro,bus,tram,train,bateau,autreTransport,aucunTransport,dateMAJ,dateCreation
31003,I310030002,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,25/11/2019,25/11/2019
31004,I310040004,Complexe sportif,2,Non,0,1,0,0,0,0,0,03/12/2019,03/12/2019
31004,I310040005,Etablissement scolaire,1,Avec logement de gardien,0,0,0,0,0,0,1,11/12/2019,27/11/2019
31020,I310200003,Etablissement scolaire,0,Non,0,0,0,0,0,0,1,18/11/2019,18/11/2019
31020,I310200009,Piscine,0,Non,0,0,0,0,0,0,1,18/11/2019,18/11/2019
31020,I310200013,Base de plein air et/ou de loisirs,,Non,0,0,0,0,0,0,1,20/11/2018,
31028,I310280005,Etablissement scolaire,0,Non,0,0,0,0,0,0,1,27/11/2019,27/11/2019
31032,I310320002,Complexe sportif,0,Non,0,1,0,0,0,0,0,24/07/2015,24/07/2015
31032,I310320005,Etablissement scolaire,2,Sans logement de gardien,0,1,0,0,0,0,0,24/07/2015,24/07/2015
31033,I310330003,Etablissement scolaire,,-,0,1,0,0,0,0,0,09/11/2018,
31033,I310330011,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,09/11/2018,26/06/2015
31033,I310330012,Piscine,0,Non,,,,,,,0,09/11/2018,26/06/2015
31035,I310350004,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,21/07/2015,21/07/2015
31035,I310350008,Complexe sportif,10,Non,0,1,0,0,0,0,0,28/06/2017,28/06/2017
31035,I310350009,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,21/07/2015,21/07/2015
31035,I310350012,Etablissement scolaire,1,Non,0,0,0,0,0,0,1,21/07/2015,21/07/2015
31036,I310360002,Complexe sportif,0,Non,0,0,0,0,0,0,1,27/11/2019,27/11/2019
31037,I310370004,Etablissement scolaire,0,Non,0,0,0,0,0,0,1,27/11/2019,27/11/2019
31042,I310420003,Complexe sportif,0,Non,0,0,0,0,0,0,1,04/06/2015,04/06/2015
31042,I310420008,Arodrome/aroport,0,Non,0,1,0,0,0,0,0,04/06/2015,04/06/2015
31044,I310440001,Complexe sportif,6,Sans logement de gardien,0,0,0,0,0,0,1,26/11/2019,26/11/2019
31044,I310440002,Complexe sportif,2,Non,0,0,0,0,0,0,1,18/10/2019,18/10/2019
31044,I310440003,Complexe sportif,0,Non,0,0,0,0,0,0,1,26/11/2019,26/11/2019
31044,I310440004,Complexe sportif,0,Avec logement de gardien,0,1,0,0,0,0,0,28/06/2016,28/06/2016
31044,I310440006,Etablissement scolaire,1,Avec logement de gardien,0,1,0,0,0,0,0,29/11/2018,19/11/2018
31044,I310440008,Arodrome/aroport,1,Non,0,1,0,0,0,0,0,18/09/2016,18/09/2016
31044,I310440022,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,07/09/2016,07/09/2016
31044,I310440023,Etablissement scolaire,2,Non,0,0,0,0,0,0,1,09/09/2019,06/05/2019
31048,I310480001,Complexe sportif,0,Non,0,1,0,1,0,0,0,18/06/2015,18/06/2015
31052,I310520001,Complexe sportif,3,Non,0,0,0,0,0,0,1,27/11/2019,27/11/2019
31056,I310560006,Base de plein air et/ou de loisirs,0,Non,0,1,0,0,0,0,0,,
31065,I310650002,Complexe sportif,,Non,0,1,0,0,0,0,0,22/11/2015,22/11/2015
31066,I310660010,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,21/07/2015,21/07/2015
31069,I310690002,Base de plein air et/ou de loisirs,0,Non,0,0,0,0,0,0,1,21/12/2018,21/12/2018
31069,I310690003,Complexe sportif,5,Non,0,0,0,0,0,0,1,04/01/2019,04/01/2019
31069,I310690004,Complexe sportif,0,Sans logement de gardien,0,1,1,0,0,0,0,20/12/2018,20/12/2018
31069,I310690005,Complexe sportif,4,Avec logement de gardien,0,1,0,0,0,0,0,29/01/2019,24/01/2019
31069,I310690006,Complexe sportif,5,Avec logement de gardien,0,1,1,0,0,0,0,29/06/2016,29/06/2016
31069,I310690007,Complexe sportif,10,Avec logement de gardien,0,0,0,0,0,0,1,21/12/2018,29/06/2016
31069,I310690008,Etablissement scolaire,0,Sans logement de gardien,0,1,1,0,0,0,0,14/10/2016,14/10/2016
31069,I310690011,Etablissement scolaire,2,Non,0,1,0,0,0,0,0,21/12/2018,18/07/2016
31069,I310690012,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,29/06/2016,29/06/2016
31069,I310690022,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
31069,I310690026,Complexe sportif,6,Avec logement de gardien,0,1,0,0,0,0,0,29/06/2016,29/06/2016
31070,I310700001,Etablissement scolaire,,-,0,0,0,0,0,0,1,25/06/2018,25/06/2018
31071,I310710002,Arodrome/aroport,0,Non,,,,,,,0,25/06/2018,25/06/2018
31079,I310790001,Complexe sportif,2,Non,,,,,,,0,21/07/2015,21/07/2015
31079,I310790003,Etablissement scolaire,1,Non,0,1,0,0,0,0,0,,
31080,I310800004,Complexe sportif,0,Non,,,,,,,0,04/12/2019,04/12/2019
31081,I310810001,Domaine de ski,0,Non,0,0,0,0,0,0,1,12/11/2018,25/06/2018
31082,I310820003,Arodrome/aroport,0,Non,0,0,0,0,0,0,1,15/11/2019,15/11/2019
31084,I310840002,Complexe sportif,0,Avec logement de gardien,0,0,0,0,0,0,1,27/11/2019,27/11/2019
31084,I310840003,Piscine,1,Non,0,0,0,0,0,0,1,27/11/2019,27/11/2019
31084,I310840004,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,27/11/2019,27/11/2019
31085,I310850001,Domaine de ski,0,Non,0,0,0,0,0,0,1,08/10/2018,21/10/2013
31091,I310910002,Complexe sportif,3,Avec logement de gardien,0,1,0,0,0,0,0,25/06/2015,25/06/2015
31091,I310910007,Base de plein air et/ou de loisirs,10,Non,,,,,,,0,,
31098,I310980001,Etablissement scolaire,3,Avec logement de gardien,0,0,0,0,0,0,1,04/12/2019,24/11/2014
31098,I310980008,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,06/12/2019,
31100,I311000001,Complexe sportif,3,Non,0,1,0,0,0,0,0,27/11/2019,13/11/2014
31100,I311000003,Etablissement scolaire,1,Non,0,1,0,0,0,0,0,28/11/2019,28/11/2019
31107,I311070001,Complexe sportif,4,Non,,,,,,,0,07/09/2018,18/06/2018
31107,I311070007,Etablissement scolaire,2,Avec logement de gardien,0,1,0,0,0,0,0,17/06/2015,17/06/2015
31113,I311130001,Complexe sportif,1,Non,0,1,0,0,0,0,0,17/06/2015,17/06/2015
31113,I311130002,Complexe sportif,4,Avec logement de gardien,0,1,0,0,0,0,0,17/06/2015,17/06/2015
31113,I311130003,Complexe sportif,1,Non,0,1,0,0,0,0,0,17/06/2015,17/06/2015
31113,I311130004,Complexe sportif,0,Non,0,1,0,0,0,0,0,17/06/2015,17/06/2015
31113,I311130005,Complexe sportif,2,Non,0,1,0,0,0,0,0,17/06/2015,17/06/2015
31113,I311130008,Etablissement scolaire,1,Avec logement de gardien,0,1,0,0,0,0,0,17/06/2015,17/06/2015
31113,I311130009,Etablissement scolaire,0,Non,0,1,0,0,0,0,0,,
31113,I311130012,Etablissement scolaire,,-,0,1,0,0,0,0,0,,
31116,I311160004,Complexe sportif,0,Non,0,1,0,0,0,0,0,21/07/2015,21/07/2015
31116,I311160005,Complexe sportif,2,Non,0,1,0,0,0,0,0,21/07/2015,21/07/2015
31117,I311170001,Complexe sportif,2,Non,0,1,0,0,0,0,0,17/06/2015,17/06/2015
31117,I311170006,Base de plein air et/ou de loisirs,0,Non,,,,,,,0,,
31118,I311180001,Complexe sportif,,Non,0,1,0,0,0,0,0,29/07/2015,29/07/2015
31133,I311330002,Complexe sportif,0,Non,0,0,0,0,0,0,1,19/10/2018,24/01/2014
31135,I311350001,Complexe sportif,0,Avec logement de gardien,0,1,0,0,0,0,0,21/09/2015,21/09/2015
31135,I311350002,Complexe sportif,0,Non,,,,,,,0,21/09/2015,21/09/2015
31135,I311350003,Piscine,0,Non,,,,,,,0,21/09/2015,21/09/2015
31135,I311350004,Etablissement scolaire,0,Avec logement de gardien,0,1,0,0,0,0,0,21/09/2015,21/09/2015
31147,I311470002,Arodrome/aroport,0,Non,0,0,0,0,0,0,1,18/10/2018,18/10/2018
31149,I311490002,Complexe sportif,1,Non,0,1,0,0,0,0,0,12/09/2016,12/09/2016
