codeDepartement,nomDepartement,codeInseeCommune,nomCommune
31,Haute-Garonne,31003,Aigrefeuille
31,Haute-Garonne,31004,Ayguesvives
31,Haute-Garonne,31004,Ayguesvives
31,Haute-Garonne,31020,Aspet
31,Haute-Garonne,31020,Aspet
31,Haute-Garonne,31020,Aspet
31,Haute-Garonne,31028,Aurignac
31,Haute-Garonne,31032,Aussonne
31,Haute-Garonne,31032,Aussonne
31,Haute-Garonne,31033,Auterive
31,Haute-Garonne,31033,Auterive
31,Haute-Garonne,31033,Auterive
31,Haute-Garonne,31035,Auzeville-Tolosane
31,Haute-Garonne,31035,Auzeville-Tolosane
31,Haute-Garonne,31035,Auzeville-Tolosane
31,Haute-Garonne,31035,Auzeville-Tolosane
31,Haute-Garonne,31036,Auzielle
31,Haute-Garonne,31037,Avignonet-Lauragais
31,Haute-Garonne,31042,Bagnres-de-Luchon
31,Haute-Garonne,31042,Bagnres-de-Luchon
31,Haute-Garonne,31044,Balma
31,Haute-Garonne,31044,Balma
31,Haute-Garonne,31044,Balma
31,Haute-Garonne,31044,Balma
31,Haute-Garonne,31044,Balma
31,Haute-Garonne,31044,Balma
31,Haute-Garonne,31044,Balma
31,Haute-Garonne,31044,Balma
31,Haute-Garonne,31048,Bazige
31,Haute-Garonne,31052,Beaumont-sur-Lze
31,Haute-Garonne,31056,Beauzelle
31,Haute-Garonne,31065,Brat
31,Haute-Garonne,31066,Bessires
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31069,Blagnac
31,Haute-Garonne,31070,Blajan
31,Haute-Garonne,31071,Bois-de-la-Pierre
31,Haute-Garonne,31079,Bouloc
31,Haute-Garonne,31079,Bouloc
31,Haute-Garonne,31080,Boulogne-sur-Gesse
31,Haute-Garonne,31081,Bourg-d'Oueil
31,Haute-Garonne,31082,Bourg-Saint-Bernard
