codeInstallation,codeInseeCommune,libelle,metro,bus,tram,train,bateau,autreTransport,aucunTransport,dateMAJ,dateCreation
I310030002,31003,Etablissement scolaire,0,1,0,0,0,0,0,25/11/2019,25/11/2019
I310040004,31004,Complexe sportif,0,1,0,0,0,0,0,03/12/2019,03/12/2019
I310040005,31004,Etablissement scolaire,0,0,0,0,0,0,1,11/12/2019,27/11/2019
I310200003,31020,Etablissement scolaire,0,0,0,0,0,0,1,18/11/2019,18/11/2019
I310200009,31020,Piscine,0,0,0,0,0,0,1,18/11/2019,18/11/2019
I310200013,31020,Base de plein air et/ou de loisirs,0,0,0,0,0,0,1,20/11/2018,
I310280005,31028,Etablissement scolaire,0,0,0,0,0,0,1,27/11/2019,27/11/2019
I310320002,31032,Complexe sportif,0,1,0,0,0,0,0,24/07/2015,24/07/2015
I310320005,31032,Etablissement scolaire,0,1,0,0,0,0,0,24/07/2015,24/07/2015
I310330003,31033,Etablissement scolaire,0,1,0,0,0,0,0,09/11/2018,
I310330011,31033,Etablissement scolaire,0,1,0,0,0,0,0,09/11/2018,26/06/2015
I310330012,31033,Piscine,,,,,,,0,09/11/2018,26/06/2015
I310350004,31035,Etablissement scolaire,0,1,0,0,0,0,0,21/07/2015,21/07/2015
I310350008,31035,Complexe sportif,0,1,0,0,0,0,0,28/06/2017,28/06/2017
I310350009,31035,Etablissement scolaire,0,1,0,0,0,0,0,21/07/2015,21/07/2015
I310350012,31035,Etablissement scolaire,0,0,0,0,0,0,1,21/07/2015,21/07/2015
I310360002,31036,Complexe sportif,0,0,0,0,0,0,1,27/11/2019,27/11/2019
I310370004,31037,Etablissement scolaire,0,0,0,0,0,0,1,27/11/2019,27/11/2019
I310420003,31042,Complexe sportif,0,0,0,0,0,0,1,04/06/2015,04/06/2015
I310420008,31042,Arodrome/aroport,0,1,0,0,0,0,0,04/06/2015,04/06/2015
I310440001,31044,Complexe sportif,0,0,0,0,0,0,1,26/11/2019,26/11/2019
I310440002,31044,Complexe sportif,0,0,0,0,0,0,1,18/10/2019,18/10/2019
I310440003,31044,Complexe sportif,0,0,0,0,0,0,1,26/11/2019,26/11/2019
I310440004,31044,Complexe sportif,0,1,0,0,0,0,0,28/06/2016,28/06/2016
I310440006,31044,Etablissement scolaire,0,1,0,0,0,0,0,29/11/2018,19/11/2018
I310440008,31044,Arodrome/aroport,0,1,0,0,0,0,0,18/09/2016,18/09/2016
I310440022,31044,Etablissement scolaire,0,1,0,0,0,0,0,07/09/2016,07/09/2016
I310440023,31044,Etablissement scolaire,0,0,0,0,0,0,1,09/09/2019,06/05/2019
I310480001,31048,Complexe sportif,0,1,0,1,0,0,0,18/06/2015,18/06/2015
I310520001,31052,Complexe sportif,0,0,0,0,0,0,1,27/11/2019,27/11/2019
I310560006,31056,Base de plein air et/ou de loisirs,0,1,0,0,0,0,0,,
I310650002,31065,Complexe sportif,0,1,0,0,0,0,0,22/11/2015,22/11/2015
I310660010,31066,Etablissement scolaire,0,1,0,0,0,0,0,21/07/2015,21/07/2015
I310690002,31069,Base de plein air et/ou de loisirs,0,0,0,0,0,0,1,21/12/2018,21/12/2018
I310690003,31069,Complexe sportif,0,0,0,0,0,0,1,04/01/2019,04/01/2019
I310690004,31069,Complexe sportif,0,1,1,0,0,0,0,20/12/2018,20/12/2018
I310690005,31069,Complexe sportif,0,1,0,0,0,0,0,29/01/2019,24/01/2019
I310690006,31069,Complexe sportif,0,1,1,0,0,0,0,29/06/2016,29/06/2016
I310690007,31069,Complexe sportif,0,0,0,0,0,0,1,21/12/2018,29/06/2016
I310690008,31069,Etablissement scolaire,0,1,1,0,0,0,0,14/10/2016,14/10/2016
I310690011,31069,Etablissement scolaire,0,1,0,0,0,0,0,21/12/2018,18/07/2016
I310690012,31069,Etablissement scolaire,0,1,0,0,0,0,0,29/06/2016,29/06/2016
I310690022,31069,Etablissement scolaire,0,1,0,0,0,0,0,,
I310690026,31069,Complexe sportif,0,1,0,0,0,0,0,29/06/2016,29/06/2016
I310700001,31070,Etablissement scolaire,0,0,0,0,0,0,1,25/06/2018,25/06/2018
I310710002,31071,Arodrome/aroport,,,,,,,0,25/06/2018,25/06/2018
I310790001,31079,Complexe sportif,,,,,,,0,21/07/2015,21/07/2015
I310790003,31079,Etablissement scolaire,0,1,0,0,0,0,0,,
I310800004,31080,Complexe sportif,,,,,,,0,04/12/2019,04/12/2019
I310810001,31081,Domaine de ski,0,0,0,0,0,0,1,12/11/2018,25/06/2018
I310820003,31082,Arodrome/aroport,0,0,0,0,0,0,1,15/11/2019,15/11/2019
I310840002,31084,Complexe sportif,0,0,0,0,0,0,1,27/11/2019,27/11/2019
I310840003,31084,Piscine,0,0,0,0,0,0,1,27/11/2019,27/11/2019
I310840004,31084,Etablissement scolaire,0,1,0,0,0,0,0,27/11/2019,27/11/2019
I310850001,31085,Domaine de ski,0,0,0,0,0,0,1,08/10/2018,21/10/2013
I310910002,31091,Complexe sportif,0,1,0,0,0,0,0,25/06/2015,25/06/2015
I310910007,31091,Base de plein air et/ou de loisirs,,,,,,,0,,
I310980001,31098,Etablissement scolaire,0,0,0,0,0,0,1,04/12/2019,24/11/2014
I310980008,31098,Etablissement scolaire,0,1,0,0,0,0,0,06/12/2019,
I311000001,31100,Complexe sportif,0,1,0,0,0,0,0,27/11/2019,13/11/2014
I311000003,31100,Etablissement scolaire,0,1,0,0,0,0,0,28/11/2019,28/11/2019
I311070001,31107,Complexe sportif,,,,,,,0,07/09/2018,18/06/2018
I311070007,31107,Etablissement scolaire,0,1,0,0,0,0,0,17/06/2015,17/06/2015
I311130001,31113,Complexe sportif,0,1,0,0,0,0,0,17/06/2015,17/06/2015
