codeDepartement;nomDepartement;codeInseeCommune;nomCommune;codeInstallation;nomInstallation;adresse;codePostal;arrondissement;libelle;multiCommune;accessibilite;accessibiliteHandiMoteur;accessibiliteHandiSens;internat;nbLits;nbParking;nbParkingHandi;gardien;metro;bus;tram;train;bateau;autreTransport;aucunTransport;dateMAJ;dateCreation;nbEquipements
31;Haute-Garonne;31003;Aigrefeuille;I310030002;Ecole;21 Chemin de l'Autan;31280;;Etablissement scolaire;0;0;1;0;0;0;10;2;Non;0;1;0;0;0;0;0;25/11/2019;25/11/2019;1
31;Haute-Garonne;31004;Ayguesvives;I310040004;Complexe Sportif;Alle des droits de l'homme et du citoyen;31450;;Complexe sportif;0;0;1;0;0;0;100;2;Non;0;1;0;0;0;0;0;03/12/2019;03/12/2019;13
31;Haute-Garonne;31004;Ayguesvives;I310040005;Collge Jean-Paul Laurens;Alle des doits de l'Homme et du citoyen.;31450;;Etablissement scolaire;0;0;1;0;0;0;40;1;Avec logement de gardien;0;0;0;0;0;0;1;11/12/2019;27/11/2019;3
31;Haute-Garonne;31020;Aspet;I310200003;Ecole Germaine Bars;432 Rue Armand Latour;31160;;Etablissement scolaire;0;0;1;0;0;0;0;0;Non;0;0;0;0;0;0;1;18/11/2019;18/11/2019;1
31;Haute-Garonne;31020;Aspet;I310200009;Piscine Municipale;QUARTIER SARRADERE;31160;;Piscine;0;0;1;0;0;0;10;0;Non;0;0;0;0;0;0;1;18/11/2019;18/11/2019;1
31;Haute-Garonne;31020;Aspet;I310200013;Parcours d'Orientation : le Bois Perch;Le Bois Perch;31160;;Base de plein air et/ou de loisirs;1;1;0;0;0;;;;Non;0;0;0;0;0;0;1;20/11/2018;;1
31;Haute-Garonne;31028;Aurignac;I310280005;Collge Emile Paul Vayssie;avenue de Benabarre;31420;;Etablissement scolaire;0;0;1;0;0;0;0;0;Non;0;0;0;0;0;0;1;27/11/2019;27/11/2019;2
31;Haute-Garonne;31032;Aussonne;I310320002;Complexe Sportif;ROUTE DU LAC;31840;;Complexe sportif;0;0;1;0;0;0;300;0;Non;0;1;0;0;0;0;0;24/07/2015;24/07/2015;9
31;Haute-Garonne;31032;Aussonne;I310320005;Installations Sportives du College;500 route de Merville;31840;;Etablissement scolaire;0;0;1;0;0;0;50;2;Sans logement de gardien;0;1;0;0;0;0;0;24/07/2015;24/07/2015;6
31;Haute-Garonne;31033;Auterive;I310330003;Ecole Primaire Michelet;8 Rue Michelet;31190;;Etablissement scolaire;;0;1;0;0;;;;-;0;1;0;0;0;0;0;09/11/2018;;4
31;Haute-Garonne;31033;Auterive;I310330011;Complexe Sportif du Collge Antonin Perbosc;18 bis AVENUE HERMANNSBURG;31190;;Etablissement scolaire;0;0;1;0;0;0;100;2;Non;0;1;0;0;0;0;0;09/11/2018;26/06/2015;4
31;Haute-Garonne;31033;Auterive;I310330012;Piscine Marie Jeanne Proudhom;ALLEE DU RAMIER;31190;;Piscine;0;0;1;0;0;0;400;0;Non;;;;;;;0;09/11/2018;26/06/2015;2
31;Haute-Garonne;31035;Auzeville-Tolosane;I310350004;Ecole Aime Cesaire;Alle du Viognier;31320;;Etablissement scolaire;0;0;1;0;0;0;10;0;Non;0;1;0;0;0;0;0;21/07/2015;21/07/2015;4
31;Haute-Garonne;31035;Auzeville-Tolosane;I310350008;Complexe Sportif / Lyce Agricole / Enfa;BP 72647;31320;;Complexe sportif;0;0;1;0;1;320;250;10;Non;0;1;0;0;0;0;0;28/06/2017;28/06/2017;9
31;Haute-Garonne;31035;Auzeville-Tolosane;I310350009;Groupe Scolaire Ren Gosciny;14 Chemin des coles;31320;;Etablissement scolaire;;0;1;0;0;0;5;0;Non;0;1;0;0;0;0;0;21/07/2015;21/07/2015;1
31;Haute-Garonne;31035;Auzeville-Tolosane;I310350012;Inra;Chemin Borde Rouge;31320;;Etablissement scolaire;0;1;0;0;0;;20;1;Non;0;0;0;0;0;0;1;21/07/2015;21/07/2015;4
31;Haute-Garonne;31036;Auzielle;I310360002;Complexe Sportif;Route d'Auzielle;31650;;Complexe sportif;0;0;1;0;0;0;60;0;Non;0;0;0;0;0;0;1;27/11/2019;27/11/2019;8
31;Haute-Garonne;31037;Avignonet-Lauragais;I310370004;Ecole Primaire Auguste Foures;rue de la porte de Cers;31290;;Etablissement scolaire;0;0;1;0;0;0;50;0;Non;0;0;0;0;0;0;1;27/11/2019;27/11/2019;1
31;Haute-Garonne;31042;Bagnres-de-Luchon;I310420003;Complexe Municipal;RUE RAMONT;31110;;Complexe sportif;0;0;1;0;0;0;50;0;Non;0;0;0;0;0;0;1;04/06/2015;04/06/2015;5
31;Haute-Garonne;31042;Bagnres-de-Luchon;I310420008;Aerodrome de Bagneres de Luchon;PLACE LEON ELISSALDE;31110;;Arodrome/aroport;0;0;1;0;0;0;100;0;Non;0;1;0;0;0;0;0;04/06/2015;04/06/2015;1
31;Haute-Garonne;31044;Balma;I310440001;Stade Municipal;17 av des aerostiers;31130;;Complexe sportif;0;0;1;0;0;0;320;6;Sans logement de gardien;0;0;0;0;0;0;1;26/11/2019;26/11/2019;20
31;Haute-Garonne;31044;Balma;I310440002;Complexe Sportif J. Rostand;AVENUE GEORGES PRADEL;31130;;Complexe sportif;0;0;1;0;0;0;50;2;Non;0;0;0;0;0;0;1;18/10/2019;18/10/2019;8
31;Haute-Garonne;31044;Balma;I310440003;Complexe Sportif Piscine
31;Haute-Garonne;31044;Balma;I310440004;Complexe Latecoere;Avenue de la Plaine;31130;;Complexe sportif;0;0;1;0;0;0;50;0;Avec logement de gardien;0;1;0;0;0;0;0;28/06/2016;28/06/2016;7
31;Haute-Garonne;31044;Balma;I310440006;Lycee Prive Salieges;3 r georges bernanos;31130;;Etablissement scolaire;0;0;1;0;1;300;250;1;Avec logement de gardien;0;1;0;0;0;0;0;29/11/2018;19/11/2018;7
31;Haute-Garonne;31044;Balma;I310440008;Aerodrome Toulouse Lasbordes;22 AVENUE JEAN RENE LAGASSE;31130;;Arodrome/aroport;0;0;1;0;0;0;40;1;Non;0;1;0;0;0;0;0;18/09/2016;18/09/2016;2
31;Haute-Garonne;31044;Balma;I310440022;Ecole Primaire Marie Laurencin;Avenue de LASBORDES;31130;;Etablissement scolaire;0;0;1;0;0;0;50;2;Non;0;1;0;0;0;0;0;07/09/2016;07/09/2016;2
31;Haute-Garonne;31044;Balma;I310440023;Ecole Primaire Saint Exupery;14 Chemin SIRONIS;31130;;Etablissement scolaire;0;0;1;0;0;0;40;2;Non;0;0;0;0;0;0;1;09/09/2019;06/05/2019;3
31;Haute-Garonne;31048;Bazige;I310480001;Complexe Sportif;Plaine d'Amont;31450;;Complexe sportif;0;0;1;0;0;0;50;0;Non;0;1;0;1;0;0;0;18/06/2015;18/06/2015;7
31;Haute-Garonne;31052;Beaumont-sur-Lze;I310520001;Aire Sportive;Place Clement Ader;31870;;Complexe sportif;0;0;1;0;0;0;100;3;Non;0;0;0;0;0;0;1;27/11/2019;27/11/2019;7
31;Haute-Garonne;31056;Beauzelle;I310560006;Base de Loisir des Ramiers;;31700;;Base de plein air et/ou de loisirs;0;0;1;0;0;0;400;0;Non;0;1;0;0;0;0;0;;;1
31;Haute-Garonne;31065;Brat;I310650002;Complexe Sportif;Route de Carbonne;31370;;Complexe sportif;0;0;1;0;0;0;50;;Non;0;1;0;0;0;0;0;22/11/2015;22/11/2015;6
31;Haute-Garonne;31066;Bessires;I310660010;College de Bessieres;245 AVENUE AIME CESAIRE;31660;;Etablissement scolaire;0;0;1;0;;0;150;2;Non;0;1;0;0;0;0;0;21/07/2015;21/07/2015;2
31;Haute-Garonne;31069;Blagnac;I310690002;Zone de Loisir des 15 Sols;che du tiers etat;31700;;Base de plein air et/ou de loisirs;1;0;1;0;0;0;100;0;Non;0;0;0;0;0;0;1;21/12/2018;21/12/2018;7
31;Haute-Garonne;31069;Blagnac;I310690003;Complexe Sportif de Ritouret;11 Av. des Tilleuls;31700;;Complexe sportif;0;0;1;0;0;0;230;5;Non;0;0;0;0;0;0;1;04/01/2019;04/01/2019;22
31;Haute-Garonne;31069;Blagnac;I310690004;Complexe du Grand Noble;20 RUE HENRI MARTIN;31700;;Complexe sportif;0;0;1;0;0;0;100;0;Sans logement de gardien;0;1;1;0;0;0;0;20/12/2018;20/12/2018;6
